,Thompson,Thompson_epsilon,Thompson_eta,Thompson_epsilon_eta,UCB_beta,UCB_beta_epsilon,UCB_beta_eta,UCB_beta_epsilon_eta,hybrid,hybrid_epsilon,hybrid_eta,hybrid_epsilon_eta,UCB_b1,UCB_b1_epsilon,UCB_b1_eta,UCB_b1_epsilon_eta,ID
185,438.4411579556787,439.02784695032886,443.1286064882077,437.69698735521615,449.46086323427767,457.5268287064862,440.87797336880175,446.01894431498897,452.27198414352506,458.1984913731636,454.4915463772503,456.3141670156241,479.7901722639564,491.7731059908881,469.89452138892153,481.87744771044316,251
186,512.8984233775215,498.5449067305815,455.99282285054886,444.4060573811291,482.51673268605515,493.65698914602507,455.0895432256352,463.97782310547234,467.9699582093112,479.91966055583555,456.4777253946209,468.11902710514255,500.7021401322362,512.6850728059185,478.39140918796994,490.3743383623084,252
187,757.0701116584877,750.0475872637026,751.0584986054322,740.5695780013114,763.9222570568121,763.6641462191869,767.0852628631701,753.8730934648763,768.5339851925211,777.7632283778676,759.3110029345958,761.1196009515444,771.671809055323,754.9511461062777,778.1000067505825,752.2166398419217,253
188,494.4242882913112,485.5236819904536,480.16505270349165,469.39435194498486,482.3678017477464,482.4433787230518,471.5304873871652,460.7205996027646,495.51421679648496,515.4810047764934,487.82739485023103,476.48246107433744,498.1662075054693,510.14913676903643,484.0616978728043,496.0446205922601,255
189,645.6302877846335,577.4446220229534,618.3819658392661,531.5762981456853,569.5356538641613,574.7741623956451,556.505008072016,551.1606385388607,573.8936921732588,576.1987144426456,553.3258432018438,557.6556272289268,571.3377976961501,577.851525993522,559.6282843334911,562.013611250119,256
190,560.4645954435792,509.6377215968704,529.4306533577177,475.27305619262694,522.7539010976587,521.315520560011,498.09482005052746,487.3713037869202,524.9355149370075,535.6592875060504,494.51587905806707,500.60000177391544,518.0769330149776,529.1185097237385,496.18542207323065,506.4225592754377,259
191,465.69633143105466,447.6250908358969,414.7466702462722,393.43976236881775,453.84444873218257,461.09330155221625,425.98115459579225,413.7287511463304,447.5160460806093,448.2421001989566,412.89511556727797,416.25563707142766,445.5947863987183,455.9446165161936,418.5758850315586,427.7985528893848,260
192,492.4335243080107,478.7108769166123,495.5502713033035,470.41581245446565,471.96297523869833,452.5808692260307,479.5117719048446,446.9185538735991,489.6160168800109,473.1902262607257,490.1329145949571,464.2857574099169,480.8041353855709,492.4985625161883,487.432511165761,498.487432991582,261
194,637.1184364368396,621.7150949956865,612.5131648793999,584.9568421005861,622.8062748604655,630.5926112605933,595.8708331973157,595.936073919119,637.3905628432337,647.5224287703717,604.1696305603681,611.154254729344,616.0054422675514,627.825458911944,588.9379456778178,599.7300997795564,263
195,521.0867541529298,495.8379136582446,496.70688366614934,466.0073276753415,492.6165531380052,466.9140598282978,482.3146011134699,449.61055646175015,510.5192237468591,525.7952366290848,485.301707942343,467.152300204979,495.62133232250403,507.1188501454458,482.47760750336926,492.1107749862155,264
