,ID,Q_0,gamma_short,gamma_long,eta_short,eta_long,beta_long,beta_short
218,291.0,1.0637068452988514,5.145342642024144e-08,0.23029498956500075,3.9331953190526927,4.206791351643693,1.0,1.0
219,292.0,1.5754036640722864,1.3575530978051068e-07,0.28713816134103215,4.084089201677745,4.999999805463797,1.0,1.0
220,293.0,3.2738113545635357,3.5678502269326846e-07,4.6031237407769516e-07,4.9999987332874545,4.999999695992536,1.0,1.0
221,294.0,1.3747797875785668,1.3976468292328038e-08,1.9381858352625092,4.999999990652467,4.999999991300933,1.0,1.0
222,295.0,2.2397706938829596,4.941413627814639e-07,4.7221744202911344e-07,2.404651442799559,4.170894433967304,1.0,1.0
223,296.0,1.0000000065603083,1.3921880503499464e-08,1.7040032703316294e-08,3.160440627813681,3.2019038470227144,1.0,1.0
224,297.0,2.110170903468237,2.2237821302339964e-07,1.1397973120612659,4.9999973926406485,4.612826972909816,1.0,1.0
225,298.0,3.7075086780078177,0.525747585858236,2.182078111822407e-07,4.999999626704022,4.999999416597537,1.0,1.0
226,299.0,4.826771154273696,9.519318373317362e-07,1.2864583408670294,1.6632377300513748,0.7939379057513648,1.0,1.0
227,300.0,4.035042196152315,1.8986767813026418e-07,1.0746383682775293,3.7623348214554433,4.999999832598223,1.0,1.0
229,302.0,1.5637765420890892,2.4212529464643346e-07,9.457664898357768e-07,3.74147753640008,4.99999345482007,1.0,1.0
230,303.0,1.2730450221212342,5.3621151583484e-07,3.8484604477484303e-07,3.7070069995087387,4.551712569867243,1.0,1.0
231,304.0,1.824277802997634,6.138113207276377e-08,0.6411536375337427,3.4170172753230275,4.68040044508713,1.0,1.0
232,305.0,5.250101447708117,4.3698934738542107e-07,2.9999998498793223,3.2674505875340274,1.8259053631038197e-07,1.0,1.0
233,306.0,4.219622356394789,2.191054926193342e-07,0.5578182509905356,2.278612743648531,1.8526607347444348,1.0,1.0
234,307.0,3.11973651011703,1.0325291589096602e-06,7.637353386009369e-07,1.318175780670234,1.2757358870534696,1.0,1.0
235,308.0,1.0000006041999225,1.8587006867966897e-07,4.1607694719072646e-07,4.115552395102838,4.6900310281853805,1.0,1.0
236,309.0,3.2131810110157453,1.0132039363099522e-07,0.6976150810993978,1.3461393015149696,2.554374664926633,1.0,1.0
237,310.0,2.9849259594558806,1.8099053753647456e-07,0.7289775598534289,3.5009397948533545,4.999999783122602,1.0,1.0
238,311.0,1.3001108446982945,9.220113981114669e-07,3.00815397774198e-07,3.255707044321347,3.138242104868587,1.0,1.0
239,312.0,2.4349110727307695,1.1522664066859745,3.280614188416564e-07,0.35653875190894624,1.686345940974287,1.0,1.0
241,314.0,3.207541473118645,2.3798923071788257e-07,5.170003368935135e-07,4.224406155831089,4.999999823935491,1.0,1.0
242,315.0,1.0000003648300775,1.8568461925925117e-07,2.2804772348527865e-07,3.0927408033398502,4.230973722722599,1.0,1.0
243,316.0,1.2084730042574972,2.251779607084656e-07,0.7822558145247335,2.2572316201267695,3.683512450035258,1.0,1.0
244,318.0,4.834323799385064,0.9023864875069327,0.5788045610732176,3.6079607156686892e-06,0.6540757830307433,1.0,1.0
245,319.0,2.257617332285781,3.4154513056532784e-07,1.0861587666035332e-06,3.0899509048544025,4.999998745349748,1.0,1.0
246,320.0,3.070379331357108,3.482549791024304e-07,0.13426644100672916,2.1726247331587993,4.737772682341814,1.0,1.0
247,321.0,2.0439041889056067,2.9590900063009413e-07,4.1423004792904e-07,4.137733127199104,4.999999687970032,1.0,1.0
248,322.0,4.999951120168235,0.0513436138953458,0.7500105812946661,0.5971335582003563,0.18296848696604456,1.0,1.0
249,324.0,1.7643827967887638,1.6088533600383042e-07,0.6750003853863092,3.0290194423422325,4.999999724721588,1.0,1.0
250,325.0,2.3642748491030985,3.195392850548421e-07,0.7823876447317715,3.5734053304120623,3.3915482123087797,1.0,1.0
251,326.0,1.00000123110668,1.6394815991377644e-07,0.7225463520191879,3.190540591504832,3.7913939086663238,1.0,1.0
252,327.0,1.0027673117200477,2.140790220909546e-07,0.10525186965714219,4.202839815668209,4.105450788016343,1.0,1.0
253,328.0,1.0000004325223886,1.8155618108984667e-07,2.8717085956005436e-07,4.768439458157169,4.88734243542954,1.0,1.0
254,329.0,1.9114226185638699,2.2132516722980552e-07,2.7774012263444545,4.624716085308965,3.9739576385780704,1.0,1.0
255,330.0,3.003564237838773,4.6476441685292374e-08,2.999999934123162,0.7049809836718471,3.093376115754264,1.0,1.0
