,ID,Q_0,gamma_short,gamma_long,beta_short,beta_long,epsilon_short,epsilon_long,eta_short,eta_long
41,74.0,4.3181072614074205,0.0004777238430802376,0.2957777444492787,2.6959562459762103,258.14744354379576,0.18195526476318835,0.1536440903815466,2.257321186335709,3.413232209491423
42,75.0,1.0000000385052286,3.2520401051892694e-08,4.221561469952621e-08,2.4232728852891197,2.4474085233195795,0.08379317145369143,0.12456425660932638,3.6250473498480114,4.143571652617745
44,77.0,1.0000000146359995,2.4107663451673968e-08,2.1412563392309332e-08,1.38023961936207,1.7380270315751196,0.29436277417473544,0.17075408302666084,0.5802077646493881,0.1764515040473593
45,78.0,1.0000000791571233,7.72329256258331e-08,3.905688876480248e-08,1.8714222436485277,1.1652293188401863,0.03950672102695504,0.02063480655705604,2.522308287412011,3.065256022103776
46,79.0,2.3157595545845235,1.2257862712204025e-06,0.8359378403811619,2.528677613729468,2.208254180134522,0.09912586815774489,0.07203205934976377,3.9857075343022634,4.2982861829659065
47,80.0,3.092060778698984,3.520993094815052e-07,0.27192865053930715,1.9308367804782376,1.882924625361505,0.053797578555096814,0.1383145733930855,2.1616235293096913,3.079586316962214
48,81.0,2.5284964551586153,1.3258564343565816e-07,1.7971142347778167e-06,1.7400215211186993,1.418955830358305,0.09797676445194108,0.04710025882232044,4.45152782768526,4.99999985139474
49,83.0,2.6513188309594997,4.7329310190950766e-07,1.3983919382293384e-06,2.3620490856663148,3.1343360925223176,0.09227651365971698,0.11989505644505997,3.033331487823409,3.2864120944738935
50,84.0,3.1045533714802107,9.614052501408508e-08,2.0770487532809887,3.2349311828609038,1.5816018253251412,0.137073347069807,0.1612745829539955,3.1780231848425204,3.020116860166369
51,85.0,1.0000017248364397,1.7556817425200794e-07,0.5129450898945378,1.4081138447540194,1.118383843083121,0.2383405931579311,0.2479153259724191,2.8724564372742463,3.7120465168328876
52,86.0,1.9978668573665745,2.480687153438218e-07,2.5146648116175977e-06,1.278380121745153,1.1905002102589215,0.0811457780854183,0.10985082694005673,3.4797436491274545,3.312077588324432
53,87.0,2.912127537833478,1.2604190836376897e-06,0.3590058366062063,1.122681662808489,972.9909745242851,0.45147884204851857,0.4999987206702919,2.4030732421056906,4.592382607092122
54,89.0,2.201949326272622,2.1557705592258764e-07,0.037474547870498,2.712122041980413,2.1722706369721516,0.10830595066899448,0.1515316113641205,3.747107883203597,4.999998731176072
55,90.0,3.3546227474106693,5.058530987029096e-07,0.227770881603401,3.095306552134405,1.822052700349198,0.02770810265135293,0.029041102714260393,1.158701857176254,3.2018806709159207
56,91.0,1.7628125800490202,2.161872294472127e-07,1.6709064520377974e-06,0.9909345637947568,2.037247652828989,0.02113687093820548,0.21038832836657462,4.999999506340016,4.806280586434769
57,93.0,1.000000018230873,2.159060407207156e-08,3.18302901226394e-08,1.690121440198812,1.595257686052258,0.04989325930338722,0.1473232013230452,2.496435002458185,2.84454880123712
58,94.0,2.307966560813892,0.3841362092739837,2.524527969161177e-07,1.9126935846404487,2.180768533667987,0.2459696829886835,0.3944018855939047,3.4118583462738368,3.859978324956332
59,95.0,2.2186491127647905,2.9675979059713256e-05,2.969368243653648,1.8335212227844397,2167.7268870262737,0.15321174537382629,0.4637016963328449,3.571518563569573,2.14272284752402
60,97.0,1.0000001175065043,3.426983153620384e-08,0.4984650512080915,2.5948147872243785,3.3947673111655616,0.042124936233067685,0.018056234144062374,3.646850341567716,3.7813053848685874
62,100.0,2.9914024941682875,2.896205879989502e-07,7.422588017260763e-07,2.776204878249953,1.5947151973596232,0.4694007191767696,0.29693635049120176,3.8504413320624074,4.999999704552478
63,101.0,1.0000056888648088,0.625440255981214,6.466082622581912e-07,506.8147203591565,2.2583275949445505,0.4021439182416308,0.2058678790853933,2.6175092580283534,4.236734491012963
64,103.0,3.138671486772558,1.03234396450789e-07,0.4715886006992087,1.2695264228142755,4.728607411568299,0.0005976067013983041,0.08027292851992243,3.3543365114112533,4.999999897680729
65,105.0,3.09419089602114,2.713359973141034e-08,0.8968636550675684,4.306088773509578,3.8627306150323624,1.7691994939692808e-10,0.029688610455904107,1.9307822959050465,2.759316357543275
66,106.0,1.2701613366813562,5.559555301321111e-07,2.675414843585757e-07,0.9703226847440976,1.7894866236703568,0.00599519092175162,0.18501540180087,3.852764627453623,3.786282425560386
