,ID,Q_0,gamma_short,gamma_long,epsilon_short,epsilon_long,beta_long,beta_short
157,215.0,9.999999792271927,0.00936824269996868,0.5968840295493063,0.08073152262799003,0.05644765485836488,1.0,1.0
158,216.0,4.991684899682861,1.4969310419034226e-08,0.41665243796856244,1.1391543988690906e-08,1.1557471293304559e-08,1.0,1.0
159,217.0,3.395539936704507,1.2012141268988995e-08,1.6069716624134862,1.054851806584e-08,0.13932014207145643,1.0,1.0
160,220.0,6.538335047521921,3.424576967139933e-08,0.607647725139858,1.1936317994425111e-08,2.5490595303272305e-08,1.0,1.0
161,223.0,7.3800705938049616,1.7664828000335607e-07,1.62317380653956,0.1391850290473317,0.16936885426635276,1.0,1.0
162,224.0,7.544162907409959,1.0031046914111718e-06,5.374391716430748e-07,0.08352056678580896,0.034381412255201,1.0,1.0
164,226.0,6.900653084396827,4.103619358726456e-08,0.22429461756832123,0.1618860427648252,0.08050774648038929,1.0,1.0
165,227.0,6.277731245559279,2.1600428388608514e-07,0.5649627935102841,1.54301168210954e-08,2.220892248795211e-08,1.0,1.0
166,229.0,4.068890203228484,6.800359207446388e-08,2.3661844364814515,1.6877335463860306e-08,1.9434052118970417e-08,1.0,1.0
167,230.0,7.629375638538579,0.02753535713300912,0.2990118430569855,0.24946608104347778,0.2754232728454303,1.0,1.0
168,231.0,4.8480292131774805,3.268973786647284e-08,2.87026086373946,1.032709409681363e-08,0.05726214001343534,1.0,1.0
169,232.0,5.9119945191140175,1.0629593228548928e-07,0.3718219472029836,1.6498462377111352e-08,0.026770387548216083,1.0,1.0
170,233.0,5.180864344369722,2.5749651082734526e-08,1.405323772801949,0.013463557466155296,0.013354982858836734,1.0,1.0
171,234.0,1.0000000937741933,1.6238813470121172e-07,2.928538117103118e-08,0.1699704373308292,0.09507022471273917,1.0,1.0
172,236.0,3.6932159211532394,1.3892279887305111e-08,0.9730584745394434,1.0289898019908436e-08,1.0308741642203926e-08,1.0,1.0
173,237.0,6.278033824623883,9.415673308491945e-08,0.4433688961880744,0.11204561816458102,0.1622986911510106,1.0,1.0
174,238.0,6.201343219120378,1.0619505764266396e-07,0.023588160444369555,2.664561191222424e-08,3.3265306073311905e-08,1.0,1.0
175,239.0,5.4253405695882355,3.7260450402485096e-07,0.9882187578449458,0.448399706861678,0.47008347966088887,1.0,1.0
176,240.0,6.048800601801246,7.119120211399884e-08,1.1211251017617188,2.1105183957440388e-08,2.4347856898808678e-08,1.0,1.0
178,243.0,6.201343219120378,1.0619505764266396e-07,0.023588160444369555,2.664561191222424e-08,3.3265306073311905e-08,1.0,1.0
179,244.0,5.34174330552527,1.9153554764588472e-07,0.5263141384847579,1.6820390349578173e-08,3.332192477646629e-08,1.0,1.0
183,248.0,7.29643375958777,4.2864887748299333e-08,0.32766396261111436,1.3141870323538995e-08,0.028698337307017745,1.0,1.0
184,249.0,5.467709806569302,1.3462615236806121,0.9412729459671909,0.4174263669594093,0.426675267348731,1.0,1.0
185,251.0,3.796448685123401,9.691858611815993e-08,0.21392125057663144,1.6862460327289537e-08,1.7868431870928253e-08,1.0,1.0
186,252.0,2.8194913095666125,7.893539417503938e-08,2.5779403595730974,1.628057419351645e-08,3.4651537948512695e-08,1.0,1.0
187,253.0,5.987188928170176,1.9337129217135232e-07,1.2011038622526505e-06,0.20083071786214904,0.22983722775644658,1.0,1.0
